Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
55.5,0.017834,43.78881,1.116743,40.29426,0.060339,-0.044359,0,0.076775,1.817148,0.377779,0.165877,10.18368,
56,0.012827,45.24766,0.660523,39.89061,0.006011,-0.016171,0,0.072798,1.098857,0.165197,0.128163,10.62586,
56.5,-0.061167,45.26275,0.445338,39.74456,0.017979,0.036618,0,-0.016692,0.716204,0.047865,0.230214,10.82496,
57,-0.029552,45.74341,0.444717,39.64903,-0.054636,-0.003065,0,0.005719,0.508681,0.107213,0.263183,11.58941,
57.5,-0.049688,45.80246,0.355378,39.50162,0.015742,0.031596,0,0.034851,0.428953,0.01212,0.186148,11.62656,
58,-0.029569,45.69103,0.29221,39.48129,0.019285,0.023535,0,-0.027667,0.380865,0.011137,0.230592,11.77582,
58.5,-0.088222,45.70409,0.412463,39.47253,-0.057616,0.109386,0,0.009813,0.36866,0.03253,0.169816,11.68472,
59,-0.065144,45.99731,0.345212,39.56131,0.042256,0.016264,0,0.002348,0.408815,-0.002802,0.151431,11.89217,
59.5,-0.060829,45.99728,0.378804,39.86394,0.00377,-0.113908,0,-0.018248,0.408775,0.005438,0.147027,11.62035,
60,-0.017876,46.23225,0.379434,39.76118,0.007908,0.066054,0,0.028442,0.399937,0.007487,0.158951,11.71198,
60.5,-0.091497,46.47671,0.398269,40.08411,0.000592,0.017966,0,0.037835,0.353685,0.045085,0.133696,11.92447,
