Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
42.5,43.33413,0.369499,39.72024,0.231616,0.041388,0.017715,0.331522,17.47127,0.355588,
43,43.59262,0.363725,39.72696,0.288456,-0.020478,0.081155,0.26726,17.51679,0.303761,
43.5,43.65021,0.386415,39.5726,0.22983,0.026333,0.023056,0.161848,17.76067,0.32521,
44,43.50517,0.428646,39.61233,0.227664,0.043155,0.024028,0.21756,17.46693,0.374867,
44.5,43.48813,0.366282,39.85659,0.180183,0.03228,-0.035653,0.291326,17.81827,0.285802,
45,43.52249,0.363193,39.75835,0.234217,0.026059,0.041035,0.220846,17.65136,0.295045,
45.5,43.57562,0.315816,39.35979,0.28884,-0.007799,0.001579,0.263483,17.52722,0.39662,
46,43.6045,0.269679,39.80784,0.245686,0.058626,0.060174,0.279156,17.77328,0.356364,
46.5,43.60279,0.353863,39.40989,0.25986,-0.001874,0.034625,0.24786,17.57436,0.4263,
47,43.43316,0.366574,39.7562,0.265749,-0.007606,0.014921,0.246819,17.66161,0.279276,
47.5,43.63889,0.47031,39.50038,0.223946,0.072435,0.00438,0.2274,17.77752,0.359838,
48,43.52711,0.358952,39.72885,0.237853,0.037979,0.028045,0.173405,17.79916,0.293162,
48.5,43.61607,0.382889,39.81896,0.259108,-0.039539,0.06423,0.265187,17.611,0.339803,
49,43.63159,0.330712,39.86741,0.234142,-0.035322,0.01256,0.142334,17.78086,0.333345,
49.5,43.68787,0.398776,39.87677,0.245901,-0.026184,0.049992,0.264836,17.7399,0.338305,
50,43.83578,0.367504,39.93005,0.246587,0.050992,0.037225,0.21624,17.73281,0.337418,
50.5,43.48388,0.437417,39.59129,0.245515,-0.003476,0.067643,0.217626,17.57296,0.346284,
51,43.5448,0.40098,39.54947,0.237128,0.03843,0.027564,0.229105,17.63924,0.386169,
51.5,43.403,0.354808,39.86906,0.222408,0.017225,0.054053,0.312379,17.30392,0.32426,
52,43.54397,0.32114,39.59192,0.302041,0.05886,0.009799,0.171468,17.80905,0.233824,
52.5,43.81366,0.457401,39.73624,0.257014,-0.004038,0.111434,0.2054,17.73057,0.398998,
53,43.33502,0.461743,39.67556,0.2407,0.031908,0.051875,0.236914,17.44899,0.332254,
53.5,43.46371,0.332998,39.72161,0.254194,0.016839,0.113469,0.249465,17.70461,0.351392,
54,43.50483,0.395472,39.6311,0.23387,-0.036197,0.079426,0.282714,17.76862,0.346657,
54.5,43.53157,0.369519,39.77916,0.217528,0.011327,0.034868,0.312624,17.51821,0.381157,
55,43.70491,0.405151,39.54455,0.248353,-0.015808,0.065218,0.313449,17.56636,0.361581,
55.5,43.68238,0.517649,39.55959,0.297124,0.019606,0.051674,0.205244,17.70903,0.337752,
56,43.27746,0.379226,39.9256,0.235253,-0.008322,0.023631,0.228587,17.59382,0.392975,
56.5,43.59328,0.338598,39.8265,0.23908,-0.020112,-0.02606,0.241254,17.81205,0.352515,
57,43.8683,0.368023,39.68892,0.218372,-0.000528,0.100827,0.231512,17.88207,0.311013,
57.5,43.63322,0.434869,39.73912,0.244314,-0.029797,-0.003213,0.262134,17.5765,0.480209,
58,43.73616,0.305945,39.73912,0.277155,0.00454,-0.012875,0.202838,17.73561,0.405425,
58.5,43.67793,0.34353,39.66817,0.271232,0.017472,0.052245,0.15406,17.76476,0.372485,
59,43.87005,0.367513,39.84742,0.237692,0.064313,0.040136,0.148615,17.79712,0.486199,
59.5,43.78818,0.370871,39.47548,0.223416,0.019588,0.012025,0.219897,17.66445,0.46234,
60,43.59151,0.329687,39.4994,0.258278,-0.043263,0.003281,0.257494,17.60613,0.307916,
60.5,43.86755,0.322072,39.85085,0.210702,0.12965,0.020106,0.239712,17.96579,0.249665,
61,43.51345,0.377658,39.63999,0.265335,0.017892,0.095455,0.183851,17.63483,0.315599,
61.5,43.42892,0.373738,39.41406,0.265311,0.012159,0.04916,0.260749,17.61194,0.330772,
62,43.65938,0.340809,40.01118,0.279361,0.042902,0.111267,0.193412,17.64716,0.348217,
62.5,43.53372,0.375654,39.69298,0.253648,0.020577,0.001353,0.290723,17.58477,0.367427,
63,43.51358,0.44973,39.71727,0.263343,0.001743,0.045123,0.229404,17.82893,0.34436,
63.5,43.40783,0.406211,39.74542,0.26832,0.033729,0.055202,0.287185,17.75531,0.473274,
64,43.39099,0.377695,39.55217,0.235371,0.014612,0.002052,0.209061,17.61883,0.362045,
64.5,43.4101,0.378026,39.70119,0.268145,0.008277,0.058184,0.186876,17.53995,0.348569,
65,43.47994,0.347055,39.76169,0.245492,-0.007484,0.072658,0.244905,17.51385,0.351487,
65.5,43.41261,0.425494,39.55336,0.217897,0.029211,0.067744,0.218231,17.56255,0.344358,
66,43.26299,0.315473,39.75729,0.259214,0.035305,0.043677,0.299838,17.55936,0.411551,
66.5,43.71642,0.432617,39.85634,0.257528,0.004985,0.076817,0.314293,17.66832,0.3709,
67,43.325,0.399902,39.90758,0.286903,-0.018479,0.024583,0.217636,17.65727,0.414739,
67.5,43.58567,0.313045,39.7748,0.229259,0.034654,0.006303,0.280049,17.67017,0.240374,
68,43.37521,0.365096,39.81308,0.256824,0.033144,0.055349,0.225708,17.87589,0.274693,
68.5,43.42556,0.343434,39.67965,0.261655,0.01679,-0.000158,0.248151,17.5886,0.279135,
69,43.27019,0.360959,39.59344,0.295446,0.048459,0.043102,0.239243,17.38979,0.268545,
69.5,43.48965,0.359435,39.79456,0.214658,0.057771,0.04459,0.232085,17.60329,0.221516,
70,43.51112,0.40994,39.63726,0.243821,0.065011,0.013305,0.199984,17.77573,0.391482,
70.5,43.42408,0.404792,39.65297,0.236233,-0.035378,0.037205,0.268448,17.6281,0.323385,
71,43.34234,0.337674,39.84256,0.262156,-0.036272,0.045112,0.27194,17.62743,0.291545,
71.5,43.45139,0.390906,39.81567,0.281782,0.015975,0.049426,0.169851,17.56861,0.338734,
72,43.4429,0.360173,39.63055,0.254226,-0.03068,0.040637,0.236713,17.7228,0.256407,
72.5,43.45604,0.41439,39.73197,0.289402,0.087478,-0.040535,0.285029,17.50039,0.394999,
73,43.55614,0.35587,39.71936,0.242977,0.056796,0.029045,0.262795,17.59499,0.440744,
73.5,43.37813,0.377124,39.64382,0.256189,0.013307,0.036914,0.272997,17.64269,0.321865,
74,43.32976,0.344581,39.8266,0.26541,0.085048,0.047764,0.311651,17.53055,0.245121,
74.5,43.51715,0.322507,39.65579,0.273679,-0.021698,0.002487,0.228681,17.73382,0.397017,
75,43.59388,0.288636,39.62272,0.255007,-0.013181,0.089698,0.264073,17.55854,0.440769,
75.5,43.47721,0.317448,39.75578,0.245942,0.001108,0.006598,0.288421,17.63542,0.334714,
76,43.62679,0.322769,39.92813,0.248474,-0.005036,0.030832,0.267401,17.45326,0.350673,
76.5,43.63183,0.366733,39.78368,0.244233,0.068782,0.026674,0.212191,17.78659,0.288632,
77,43.35419,0.406717,39.59561,0.316137,0.05543,0.032756,0.28093,17.7051,0.362143,
77.5,43.32141,0.439765,39.70447,0.274995,-0.063394,0.002668,0.246823,17.56135,0.397777,
78,43.36979,0.371279,39.30569,0.243421,0.037479,0.101246,0.216359,17.63743,0.283479,
78.5,43.28466,0.336587,39.68983,0.239765,-0.007947,0.010846,0.301668,17.60393,0.418225,
79,43.25642,0.394789,39.70854,0.230164,0.007601,-0.016863,0.250159,17.58027,0.349561,
79.5,43.37569,0.323194,39.69275,0.278802,-0.003911,0.078256,0.24846,17.51271,0.376304,
80,43.41943,0.369183,39.61669,0.277447,0.061669,0.097777,0.206383,17.47864,0.334676,
80.5,43.33791,0.410998,39.62564,0.226913,0.003746,0.059053,0.223524,17.57983,0.36167,
81,43.56319,0.329311,39.78967,0.256,0.016283,0.00332,0.256459,17.69515,0.368127,
81.5,43.35886,0.324372,39.786,0.28829,0.081084,0.035891,0.280724,17.63865,0.324011,
82,43.40964,0.387437,39.68203,0.252517,0.005025,0.051202,0.275886,17.59265,0.437592,
82.5,43.19348,0.380844,39.5874,0.291023,0.018093,0.012978,0.249429,17.59402,0.228508,
83,43.42416,0.453166,39.69981,0.302241,-0.039002,0.034486,0.176769,17.61098,0.373827,
83.5,42.79365,0.40119,39.58267,0.258265,0.045595,0.022005,0.1736,17.43237,0.344314,
84,42.53485,0.452794,39.88001,0.280778,0.006609,0.082835,0.250559,17.24533,0.414898,
84.5,42.21151,0.547873,40.3714,0.354945,0.027457,0.076767,0.23085,17.3207,0.39553,
85,40.81878,0.603336,41.3752,0.477619,0.012192,0.045079,0.201107,17.13135,0.310927,
85.5,36.01822,1.129809,44.61145,0.986021,0.101578,0.229682,0.191117,15.16566,0.186876,
86,32.18547,1.566109,47.70792,1.483251,0.202282,0.230814,0.243511,13.26764,0.131746,
86.5,30.61242,1.769891,49.96952,1.848521,0.219035,0.347725,0.286139,12.38426,0.095353,
87,29.81897,2.055981,51.6228,2.059458,0.298547,0.523798,0.244675,11.70608,0.150977,
87.5,29.55289,1.976845,52.73563,2.160904,0.278811,0.495927,0.20907,11.49933,0.07612,
88,29.48532,2.06248,53.73338,2.251477,0.320554,0.564847,0.130263,11.12879,0.127718,
88.5,29.55171,2.104251,54.39871,2.279366,0.320077,0.574668,0.252243,11.04864,0.22268,
89,29.4369,2.160597,54.70976,2.317795,0.251736,0.510063,0.179555,10.90167,0.100185,
89.5,29.68782,2.223921,54.89524,2.344472,0.282466,0.602671,0.212081,11.02043,0.055149,
90,29.54082,2.17632,54.62458,2.376475,0.342656,0.593502,0.177398,10.84736,0.038755,
90.5,29.73413,2.063967,55.20554,2.386975,0.251639,0.575891,0.259361,10.6793,0.143923,
91,29.83234,2.077545,55.27161,2.389494,0.254484,0.500279,0.273141,10.531,0.093631,
91.5,29.56921,2.212591,55.20855,2.288247,0.224546,0.547095,0.233322,10.75751,0.12555,
92,29.89394,2.172868,55.39531,2.333403,0.32093,0.599989,0.129937,10.78311,0.087462,
92.5,29.99555,2.169196,55.18109,2.342501,0.224873,0.644033,0.180061,10.75341,0.225018,
93,29.97095,2.098649,55.19949,2.279423,0.269885,0.610887,0.209098,10.62635,0.116338,
93.5,30.08628,2.009959,55.24397,2.383887,0.277324,0.618064,0.170461,10.65892,0.043967,
94,30.01431,2.070171,55.53402,2.301342,0.241122,0.683395,0.227157,10.3124,0.204771,
94.5,30.27253,2.041245,55.3727,2.368502,0.261859,0.599089,0.189638,10.51155,0.149743,
95,30.10866,2.112791,55.65853,2.36735,0.162839,0.593452,0.254834,10.44214,0.066427,
95.5,30.14525,1.995664,55.53936,2.31181,0.206153,0.551016,0.220808,10.28244,0.110331,
96,30.12144,1.746965,55.48721,2.322247,0.257702,0.523452,0.257874,10.25276,0.057032,
96.5,30.47929,1.685765,55.80378,2.392036,0.203035,0.5443,0.218897,10.18257,0.198865,
97,30.26537,1.625314,55.87592,2.295854,0.210042,0.473339,0.18105,10.13289,0.155037,
97.5,30.54363,1.509254,56.11779,2.278618,0.29218,0.455278,0.228948,10.18091,0.111949,
98,30.4789,1.481232,55.94491,2.298134,0.179685,0.36089,0.184952,10.16453,0.076627,
98.5,30.60315,1.354988,56.10049,2.361018,0.21088,0.418782,0.221182,10.01839,0.0654,
99,30.6188,1.556534,56.19965,2.270594,0.144948,0.421493,0.241926,9.910017,0.06988,
99.5,30.4546,1.370616,56.26728,2.322035,0.222483,0.395151,0.166439,10.08969,0.04164,
100,30.73863,1.429794,56.29657,2.293285,0.200315,0.455432,0.1685,10.07655,0.128611,
100.5,30.64219,1.464061,56.06248,2.275421,0.205542,0.45849,0.182741,10.11899,0.088657,
101,30.75175,1.55613,56.26006,2.308607,0.204834,0.456144,0.232496,9.970419,0.047665,
101.5,30.6517,1.468909,56.23314,2.341233,0.202929,0.400848,0.155992,9.996148,0.059517,
102,30.73451,1.394206,56.22766,2.378226,0.143539,0.362123,0.199693,10.03899,0.009477,
102.5,30.77358,1.418228,56.05503,2.367137,0.188103,0.404296,0.203504,9.727149,0.055845,
103,30.94212,1.424009,56.00642,2.363645,0.170031,0.407576,0.258796,9.873598,0.117024,
103.5,30.5396,1.525935,56.10608,2.312106,0.185655,0.40568,0.219739,9.847623,0.072532,
104,30.4785,1.451399,56.28632,2.320871,0.150894,0.364216,0.208914,9.924819,0.037296,
104.5,30.68033,1.397613,56.08279,2.311662,0.142117,0.437701,0.197286,10.00761,0.030035,
105,30.83916,1.443814,56.27616,2.258135,0.19706,0.40898,0.236408,9.791621,0.071652,
105.5,30.78407,1.47645,55.99206,2.345711,0.228425,0.391873,0.285785,9.751699,0.142588,
106,30.70783,1.47268,55.80348,2.306511,0.242983,0.362533,0.152094,9.674525,0.103454,
106.5,30.79759,1.376684,56.27097,2.308324,0.146501,0.417886,0.269728,9.8482,0.094261,
107,30.71231,1.480544,56.05962,2.21053,0.175853,0.446973,0.257098,9.594375,0.126311,
107.5,30.84517,1.507605,56.03451,2.308837,0.229893,0.424556,0.231264,9.955355,0.083426,
108,30.66039,1.560406,55.87638,2.246129,0.172738,0.498751,0.159103,9.817697,0.11756,
108.5,30.72606,1.352109,56.21169,2.369238,0.279333,0.453461,0.204568,9.726818,0.061897,
109,30.74099,1.414432,56.32725,2.29878,0.20654,0.375437,0.15942,9.776192,0.010568,
109.5,30.59609,1.474938,56.38939,2.297551,0.181979,0.443989,0.315815,9.857635,0.047903,
110,30.85135,1.487771,56.44992,2.318796,0.251938,0.328044,0.158927,9.896356,0.114516,
110.5,30.73114,1.457247,56.09816,2.335551,0.173857,0.32464,0.187033,9.642375,0.121707,
111,30.55262,1.42809,56.10145,2.265309,0.170563,0.319127,0.215211,9.646802,0.092396,
111.5,30.94953,1.553156,56.31561,2.272911,0.249376,0.428474,0.288775,9.707334,0.037897,
112,30.71787,1.459866,56.21855,2.265289,0.223368,0.401813,0.202468,9.651136,0.116623,
112.5,30.75971,1.489957,56.20473,2.328355,0.268442,0.402139,0.207196,9.787788,0.143693,
113,30.69069,1.48368,56.4195,2.263321,0.219989,0.405005,0.177569,9.84882,0.133994,
113.5,30.84841,1.504214,55.95906,2.302661,0.15441,0.399355,0.198589,9.576114,0.109015,
114,30.73905,1.543094,56.3288,2.226676,0.187166,0.395589,0.20755,9.799451,0.207192,
114.5,30.6953,1.378982,56.11409,2.267441,0.187053,0.427222,0.182422,9.625899,0.08692,
115,30.77249,1.417997,56.03812,2.349846,0.187383,0.406954,0.199132,9.672227,0.078378,
115.5,30.88798,1.40152,56.31758,2.341748,0.230568,0.460888,0.219376,9.974421,0.049436,
116,30.74964,1.480608,56.24677,2.228165,0.182583,0.43581,0.131919,9.746744,0.088334,
116.5,30.66912,1.50808,56.0069,2.337734,0.207266,0.407403,0.173856,9.706311,0.094103,
117,30.71544,1.457147,56.00395,2.329166,0.160176,0.374088,0.174564,9.722877,0.041417,
117.5,30.78248,1.382041,56.02984,2.259737,0.191228,0.444135,0.212014,9.775907,0.107606,
118,30.93378,1.41248,56.34764,2.304283,0.235236,0.370785,0.197235,9.721133,0.091485,
118.5,30.81901,1.462619,56.09788,2.313854,0.215349,0.384013,0.198599,9.84988,-0.00094,
119,30.69019,1.444629,56.11697,2.268472,0.174733,0.398635,0.235587,9.581379,0.144868,
119.5,30.8739,1.348426,56.4916,2.280013,0.202126,0.441953,0.226575,9.603896,0.121788,
120,30.8346,1.455888,56.13329,2.313123,0.194597,0.331912,0.263921,9.861096,0.10116,
120.5,30.77044,1.469174,56.32459,2.234113,0.124624,0.463684,0.190551,9.928107,0.022467,
121,30.77934,1.420481,56.15446,2.223985,0.230738,0.434669,0.188048,9.72597,0.11339,
121.5,30.77536,1.46528,56.31682,2.341372,0.220139,0.436264,0.210632,9.672136,0.220053,
122,30.78129,1.538571,56.15669,2.284685,0.197657,0.378886,0.197323,9.739133,0.080045,
122.5,30.73252,1.430554,56.3828,2.341805,0.260425,0.407085,0.204551,9.54514,0.121967,
123,30.76873,1.440999,56.07077,2.329213,0.197001,0.385918,0.197742,9.604948,0.088976,
123.5,31.04549,1.477738,56.34498,2.283992,0.132945,0.469281,0.279558,9.729458,0.172949,
124,30.67861,1.452084,56.13282,2.35144,0.172428,0.4032,0.204321,9.483009,0.133829,
124.5,30.91111,1.512915,56.408,2.327045,0.214454,0.461155,0.198694,9.700827,0.12935,
125,30.74258,1.45781,56.19149,2.296858,0.139366,0.34673,0.219403,9.618533,0.086615,
125.5,30.83033,1.473818,56.42825,2.34406,0.226503,0.391862,0.259287,9.709023,0.137528,
126,30.76208,1.324887,56.45219,2.179878,0.24297,0.371346,0.213265,9.598302,0.147149,
126.5,30.70992,1.525366,55.99895,2.313597,0.261105,0.373194,0.185896,9.580122,0.07713,
127,30.99405,1.414641,56.41846,2.309152,0.229873,0.404102,0.259005,9.731072,0.075765,
127.5,30.82688,1.471478,56.37172,2.248995,0.182643,0.423862,0.221901,9.72386,0.142499,
128,30.91337,1.453494,56.42452,2.283802,0.153805,0.396302,0.234274,9.72548,0.089846,
128.5,30.60111,1.361969,56.32922,2.28093,0.177538,0.351416,0.194451,9.644328,0.143603,
129,30.81954,1.479067,56.26074,2.190515,0.248894,0.367982,0.221284,9.572003,0.205646,
129.5,30.75636,1.459108,56.21437,2.282759,0.209957,0.432045,0.200896,9.780244,0.059805,
130,30.71719,1.501938,56.2781,2.27644,0.155307,0.375778,0.21313,9.484766,0.179383,
130.5,30.85713,1.432812,56.41872,2.299037,0.160743,0.393278,0.183042,9.723499,0.155381,
131,30.78542,1.437382,56.10165,2.198903,0.185117,0.401691,0.272181,9.687177,0.106637,
131.5,30.65032,1.577924,56.31127,2.273692,0.180843,0.369366,0.189551,9.620627,0.126078,
132,30.95293,1.367048,56.21007,2.152788,0.10309,0.455706,0.211673,9.607367,0.248857,
132.5,30.84298,1.459387,56.28484,2.245792,0.210962,0.385156,0.21853,9.624684,0.104125,
133,30.69775,1.437483,56.24807,2.332199,0.18547,0.368669,0.243795,9.584092,0.111989,
133.5,30.97532,1.494392,55.88617,2.266487,0.217547,0.404975,0.245835,9.619507,0.122656,
134,30.65927,1.484253,55.97311,2.279935,0.177469,0.383663,0.238719,9.504951,0.144714,
134.5,30.93303,1.462249,56.19951,2.276519,0.113298,0.32023,0.269258,9.671018,0.075878,
135,30.89241,1.420236,55.99582,2.306508,0.170296,0.470098,0.183934,9.609647,0.105157,
135.5,30.84289,1.533202,56.2844,2.306323,0.215008,0.366791,0.218096,9.564165,0.145754,
136,30.79983,1.448364,55.82615,2.270144,0.177903,0.419446,0.258798,9.633977,0.226912,
136.5,30.694,1.442501,55.79771,2.251356,0.272778,0.430748,0.217262,9.529964,0.062191,
137,30.79422,1.51735,56.01231,2.249944,0.17667,0.469236,0.180309,9.590273,0.11494,
137.5,30.77105,1.435013,56.24404,2.296572,0.191864,0.346524,0.224296,9.57296,0.188392,
138,30.67554,1.437966,55.95261,2.293861,0.22499,0.416995,0.199523,9.52712,0.138028,
