Distance (µm),Ni Ox%,Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,
254,0.355688,47.50158,40.32375,0.240777,0.154686,12.8175,
256,0.382497,47.30827,40.43681,0.236827,0.185124,12.79287,
258,0.382793,47.49869,40.49996,0.215819,0.226737,12.92331,
260,0.34187,47.43034,40.43309,0.152191,0.158742,12.94963,
262,0.366409,47.50585,40.52319,0.237997,0.179698,12.90549,
264,0.34512,47.3844,40.446,0.200805,0.197774,12.71933,
266,0.335643,48.31347,41.33379,0.187547,0.191672,12.8612,
268,0.409828,47.09191,40.11311,0.215246,0.144929,12.84259,
270,0.302361,47.53973,40.39712,0.223831,0.238503,12.91801,
272,0.407337,47.59669,40.42731,0.228421,0.277603,12.89784,
274,0.383629,47.56833,40.57815,0.19933,0.205895,12.72744,
276,0.327525,47.23575,40.41175,0.215408,0.177341,12.72155,
278,0.405344,47.48737,40.58976,0.212392,0.171265,12.89572,
280,0.344745,47.195,40.29884,0.17965,0.187829,12.69178,
282,0.416417,47.66357,40.40495,0.215017,0.155074,12.95004,
284,0.361958,47.38599,40.74522,0.273634,0.233688,12.93642,
286,0.299297,47.46457,40.56339,0.204757,0.1992,12.95779,
288,0.479828,47.38337,40.65223,0.204077,0.20909,12.70385,
290,0.245486,47.37197,40.54943,0.182724,0.15822,12.89666,
292,0.24871,47.34861,40.55214,0.211257,0.203365,12.84846,
294,0.422119,47.40615,40.77758,0.234082,0.178661,12.81277,
296,0.449681,47.70996,40.50525,0.213712,0.137376,12.9041,
298,0.307247,47.73326,40.54746,0.193365,0.20766,12.8151,
300,0.355667,47.65332,40.62416,0.19084,0.188673,13.01288,
302,0.434157,47.67798,40.36504,0.202049,0.144522,12.93243,
304,0.280374,47.38533,40.36893,0.19872,0.13109,12.90151,
306,0.339453,47.41616,40.7612,0.233219,0.190179,12.88896,
308,0.261998,47.5561,40.42509,0.20926,0.233428,12.63067,
310,0.403025,47.64924,40.51818,0.227168,0.194684,13.15978,
312,0.339008,47.32524,40.58625,0.174315,0.214643,12.64426,
314,0.342648,47.5302,40.46169,0.195603,0.234297,12.71566,
316,0.308222,47.69362,40.45054,0.175554,0.195253,13.06277,
318,0.349437,47.46962,40.79954,0.158139,0.147837,12.80855,
320,0.398464,47.675,40.59612,0.151593,0.266285,12.74555,
322,0.367689,47.50052,40.70471,0.224863,0.260073,12.84969,
324,0.41032,47.64631,40.73026,0.261616,0.214858,12.90042,
326,0.431149,47.60583,40.42083,0.198251,0.213591,12.90158,
328,0.303512,47.21894,40.53534,0.21345,0.175749,12.92342,
330,0.290785,47.7998,40.78598,0.18973,0.13997,12.97431,
332,0.264573,47.39946,40.52456,0.136906,0.260903,12.74677,
334,0.34193,47.27056,40.27986,0.253594,0.231411,12.88464,
336,0.436593,47.39072,40.68078,0.177952,0.148717,12.73836,
338,0.361577,47.74155,40.67191,0.241853,0.237294,13.04026,
340,0.321542,47.52647,40.98931,0.175868,0.228053,12.99321,
342,0.452955,47.50432,40.64861,0.187812,0.260562,12.80364,
