Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Ti Ox%,K Ox%,Cr Ox%,
74.5,29.17711,54.73901,2.594548,0.254079,11.09096,0.164616,0.313755,0.021453,0.628942,
75,29.10218,54.33728,2.497763,0.210409,11.05842,0.1637,0.328637,-0.029923,0.448675,
75.5,29.37999,54.71212,2.436248,0.27023,11.09103,0.041089,0.340336,0.030429,0.495343,
76,29.42413,54.52177,2.254401,0.247114,11.14487,0.043485,0.332259,-0.030097,0.517244,
76.5,29.42888,54.75909,2.276716,0.175266,11.09876,0.078025,0.279297,-0.049845,0.510217,
77,29.47642,54.9158,2.217222,0.18816,11.22101,0.071188,0.220374,-0.011618,0.492839,
77.5,29.70454,54.88787,2.219218,0.210384,10.95175,0.068132,0.207172,0.002274,0.402234,
78,29.49244,54.85516,2.16914,0.292776,10.89562,0.136732,0.28088,-0.023098,0.473227,
78.5,29.73029,54.81308,2.257516,0.225523,10.95505,0.15576,0.206387,0.023807,0.481874,
79,29.7,55.02755,2.240817,0.316221,11.05917,0.113238,0.187459,0.001309,0.467168,
79.5,29.69181,54.6535,2.199418,0.201357,10.99777,0.130747,0.211744,0.011797,0.493185,
80,29.5804,54.7335,2.24609,0.266495,10.97674,0.064749,0.291454,-0.022464,0.493621,
80.5,29.42286,54.81469,2.260595,0.24287,11.01827,0.021639,0.28013,0.02603,0.358824,
81,29.58386,54.74899,2.276492,0.212281,11.15809,0.160038,0.335893,-0.01008,0.542954,
81.5,29.31355,54.43985,2.277921,0.221864,11.09042,0.068165,0.323018,0.016539,0.577382,
82,29.43614,54.13631,2.313488,0.263168,11.24002,-0.003993,0.30943,-0.04634,0.564306,
82.5,29.44427,54.12283,2.322087,0.308907,11.16807,0.056116,0.369037,0.037224,0.585849,
83,29.31351,54.42122,2.36761,0.212407,11.14387,0.036372,0.340537,0.02377,0.593291,
83.5,29.33247,54.37022,2.330414,0.223919,11.05881,0.063177,0.345696,0.009798,0.58219,
84,29.42351,54.62057,2.300204,0.221131,10.94468,0.134782,0.367157,-0.008495,0.518746,
84.5,29.46559,54.91819,2.423174,0.246199,10.75405,0.086406,0.364275,-0.014542,0.468295,
85,29.6569,54.7655,2.329602,0.173059,11.04787,0.008223,0.298379,-0.026835,0.494881,
85.5,29.38839,54.82026,2.280219,0.227061,11.09212,0.095464,0.304605,0.033468,0.367261,
86,29.47336,54.68591,2.277705,0.235031,11.1981,0.079567,0.315783,-0.023747,0.469808,
86.5,29.25746,54.51696,2.379589,0.194329,10.9565,0.125134,0.292838,0.002661,0.47468,
87,29.62279,54.48529,2.337542,0.292964,11.25549,0.15391,0.330913,-0.001664,0.436801,
87.5,29.61088,54.67012,2.287459,0.213858,11.16015,0.066529,0.293536,0.000841,0.50215,
88,29.59954,54.52178,2.299168,0.298075,11.09753,0.176796,0.345917,0.012503,0.541064,
88.5,29.5026,54.43801,2.347157,0.280367,11.09668,0.088952,0.339447,-0.052405,0.531939,
89,29.52143,54.8372,2.293773,0.213821,11.33267,0.012478,0.320907,-0.009809,0.521547,
89.5,29.47351,54.44678,2.316271,0.262625,11.07138,0.02992,0.29936,0.052188,0.455084,
90,29.60518,54.54282,2.30557,0.191338,11.11202,-0.033171,0.319243,0.03073,0.499573,
90.5,29.55024,54.65192,2.348079,0.166937,11.21994,0.082531,0.310406,0.027567,0.520353,
91,29.40464,54.36108,2.324996,0.203686,10.94751,0.048789,0.295032,-0.007903,0.456486,
91.5,29.51987,54.57553,2.277175,0.27743,11.08363,0.137108,0.304605,-0.03645,0.47592,
92,29.67501,54.53719,2.279004,0.257665,11.03511,0.078186,0.346414,-0.026979,0.546426,
92.5,29.62103,54.35247,2.326859,0.231707,11.07568,0.049872,0.23171,0.005681,0.538489,
93,29.617,54.37897,2.337739,0.230777,11.15984,-0.049042,0.379121,0.002094,0.527453,
93.5,29.33101,54.72112,2.344798,0.331127,11.15269,-0.021146,0.293556,0.005047,0.48249,
94,29.49357,54.61268,2.272027,0.179592,11.05684,0.066899,0.351955,0.006825,0.592692,
94.5,29.38703,54.699,2.227017,0.2405,11.08043,0.058355,0.356041,0.007885,0.459836,
