Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Al Ox%,Ti Ox%,K Ox%,
79,44.27823,39.20232,0.291439,0.238204,15.71498,0.266962,0.541295,-0.028767,0.00773,
79.5,43.92991,39.07559,0.214568,0.158975,15.71636,0.254834,0.586487,-0.012112,-0.005332,
80,44.01074,39.4173,0.234834,0.296243,15.84723,0.236858,0.582303,0.00317,-0.017252,
80.5,44.01263,39.46371,0.230381,0.120337,15.92982,0.282806,0.540285,-0.011937,0.011999,
81,44.19371,39.16141,0.222623,0.272068,15.86099,0.22733,0.599302,0.009447,-0.022977,
81.5,43.72168,38.91827,0.226598,0.273367,15.74476,0.325399,0.577926,-0.003143,0.007246,
82,44.01962,39.21563,0.225342,0.19973,15.90586,0.296619,0.571466,0.001353,0.001026,
82.5,44.03099,39.04669,0.174596,0.271892,15.78638,0.108563,0.501704,-0.019613,0.019691,
83,43.86573,39.30355,0.220873,0.249941,15.56271,0.271061,0.539233,0.045651,0.028447,
83.5,43.77547,39.04112,0.200774,0.297145,15.81689,0.213578,0.568699,0.012499,0.001877,
84,43.89152,39.25428,0.23464,0.232419,15.68925,0.30613,0.546839,0.01701,-0.018411,
84.5,43.9694,39.02824,0.205346,0.280696,15.83157,0.313589,0.62285,0.030063,-0.026836,
85,43.88519,39.42087,0.161828,0.218391,15.94034,0.225309,0.501995,-0.008743,-0.019178,
85.5,44.04113,39.16352,0.218758,0.278853,15.73951,0.287297,0.569349,-0.034329,-0.015607,
86,43.93125,38.99328,0.217164,0.243068,15.93756,0.402319,0.587662,-0.004212,-0.015692,
86.5,43.86927,39.37035,0.221136,0.24222,15.85303,0.354707,0.48024,0.039742,0.013459,
87,43.94179,39.26151,0.244473,0.144912,15.85412,0.222338,0.538305,0.012562,-0.006193,
87.5,43.85043,39.27988,0.243444,0.211529,15.87332,0.204709,0.556988,0.0266,0.008874,
88,43.8771,39.16054,0.27324,0.217107,15.81209,0.261279,0.590289,0.088454,0.019164,
88.5,44.17932,39.09121,0.211434,0.235182,15.96047,0.313894,0.561979,-0.062624,0.01475,
89,44.02109,39.17832,0.245425,0.236703,15.89927,0.293605,0.498511,0.002371,-0.019511,
89.5,43.95033,39.1713,0.227683,0.202284,15.85419,0.250905,0.570359,0.041522,0.007309,
90,43.91919,39.11574,0.231426,0.275812,15.87491,0.217432,0.537887,0.047131,-0.049866,
90.5,44.06239,39.03201,0.229771,0.255356,15.94432,0.266127,0.434673,0.067636,0.002567,
91,43.73438,39.08573,0.198172,0.290646,15.89369,0.321785,0.520272,-0.04637,-0.082072,
91.5,43.71138,39.16652,0.225843,0.209394,15.6809,0.278755,0.476861,-0.038613,0.004251,
92,44.06067,39.2312,0.218184,0.21822,16.03858,0.22677,0.464676,-0.014307,0.006981,
