Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
222,29.52066,54.95026,2.089008,0.32403,0.447674,0.267334,11.38318,
224,29.77098,55.1032,2.08769,0.396328,0.407411,0.248209,11.69181,
226,29.58038,55.19198,2.101076,0.36933,0.43088,0.238015,11.63567,
228,29.87731,55.12158,2.081904,0.388917,0.376395,0.197054,11.72753,
230,29.97909,54.91479,2.0582,0.373436,0.491841,0.248871,11.50278,
232,29.61265,54.76176,2.119365,0.342559,0.433651,0.141704,11.58481,
234,29.8441,55.00003,2.11248,0.330552,0.477235,0.250727,11.75946,
236,29.82242,55.04458,2.020814,0.423472,0.43296,0.161052,11.63946,
238,29.62823,55.00042,2.065973,0.364973,0.48465,0.29671,11.49184,
240,29.72874,55.2252,2.0723,0.32989,0.494393,0.218883,11.70085,
242,29.73725,54.97882,2.059198,0.387796,0.418895,0.265966,11.61849,
244,29.97971,55.01416,2.061148,0.39697,0.421712,0.269639,11.54615,
246,29.72829,54.88386,2.070467,0.434386,0.484402,0.170184,11.64975,
248,29.57386,55.08089,2.075502,0.367385,0.419318,0.270165,11.57206,
250,29.55392,55.22335,2.129653,0.354309,0.335129,0.201271,11.46771,
252,29.9345,55.11974,2.011605,0.382645,0.440239,0.26458,11.45432,
254,29.87424,55.28981,2.105493,0.403049,0.382871,0.229807,11.76027,
256,29.87706,55.05175,2.066306,0.356198,0.490545,0.248016,11.59121,
258,29.66648,54.76754,2.042133,0.397951,0.405524,0.200905,11.69973,
260,29.79022,55.13725,2.144602,0.40807,0.436066,0.245507,11.47045,
262,29.79741,54.9039,2.108379,0.386611,0.437725,0.182015,11.76898,
264,29.76156,54.99894,2.070345,0.340065,0.422888,0.294631,11.44992,
266,29.75712,55.29417,2.086079,0.402868,0.415183,0.222825,11.54413,
268,29.84906,55.39141,2.076952,0.427119,0.407506,0.150871,11.60009,
270,29.93086,55.23716,2.106473,0.338688,0.371835,0.254731,11.44175,
272,29.92011,55.1696,2.077701,0.369615,0.371406,0.254909,11.61665,
274,29.84202,55.49105,2.024806,0.409875,0.339063,0.218882,11.51659,
276,29.94168,55.47978,2.122367,0.43817,0.407353,0.235117,11.42187,
278,29.82617,55.16645,2.047007,0.341416,0.423592,0.319946,11.43362,
280,30.03059,55.03491,2.069406,0.484036,0.468847,0.228438,11.48535,
282,29.65373,55.2058,2.087033,0.331085,0.381158,0.174133,11.37075,
284,29.75241,55.0494,2.085943,0.472818,0.439543,0.248069,11.24616,
286,29.73421,55.17045,2.057525,0.375769,0.409721,0.216918,11.30013,
288,29.86871,55.01455,2.067084,0.462992,0.400933,0.228467,11.18511,
290,30.06014,55.34854,2.07825,0.390173,0.365446,0.199786,11.47272,
292,29.85578,55.1473,2.037529,0.426038,0.38158,0.265058,11.17295,
294,30.13025,55.27399,2.057075,0.388296,0.382432,0.286517,11.40896,
296,29.91229,55.27573,2.011139,0.388096,0.453534,0.195922,11.18679,
298,30.28641,55.50335,2.070128,0.462556,0.30221,0.169708,11.4568,
300,29.92434,55.24646,1.98997,0.431413,0.34688,0.30044,11.23939,
302,29.91719,55.42886,1.954339,0.384678,0.454265,0.206376,11.18369,
304,29.99284,55.37816,2.048456,0.416177,0.43739,0.276004,11.43049,
306,30.06635,55.15712,2.044314,0.467392,0.449848,0.224635,11.25387,
308,29.97273,55.21273,2.061594,0.465715,0.432292,0.265346,11.30465,
310,29.9951,55.07682,2.089591,0.414749,0.37958,0.257937,11.251,
312,30.11382,55.36386,2.069442,0.41182,0.490325,0.217677,11.53893,
314,30.20687,55.23996,2.083917,0.453852,0.484445,0.316645,11.12339,
316,30.08504,55.36478,2.050278,0.486725,0.443613,0.219551,11.29968,
318,30.09416,55.40764,2.112733,0.475305,0.373571,0.234599,11.17888,
320,30.0491,55.46328,2.035388,0.473183,0.379186,0.169364,11.22472,
322,30.10833,55.21803,2.008553,0.489004,0.378177,0.260079,11.36434,
324,30.18141,54.95681,2.000336,0.502523,0.411594,0.225832,11.50863,
326,30.23081,55.13115,2.00118,0.477825,0.430545,0.274415,11.3875,
328,30.02445,55.21833,1.962637,0.518285,0.321832,0.234268,11.14868,
330,29.9047,55.17734,2.042369,0.551464,0.456128,0.264597,11.24702,
332,30.18978,55.07373,2.043865,0.571387,0.391852,0.297545,11.23353,
334,30.08001,55.36404,1.986858,0.519881,0.418763,0.258121,11.17107,
336,30.07461,55.11039,2.059484,0.516796,0.518875,0.184931,11.18754,
338,29.79529,55.13654,2.037692,0.554972,0.411108,0.207193,11.29695,
340,30.25187,55.40928,2.070455,0.561164,0.373787,0.217545,11.25433,
