Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Ti Ox%,Cr Ox%,
114,29.37309,54.16971,2.199048,0.210699,11.01359,0.036348,0.329891,0.58625,
115,29.24364,54.18227,2.22544,0.257061,11.11995,0.03915,0.303444,0.505532,
116,29.40092,54.29308,2.199862,0.299741,11.13203,0.015379,0.257583,0.483208,
117,29.30392,54.15435,2.255825,0.176425,11.01656,0.139861,0.349313,0.595334,
118,29.33995,54.02243,2.254321,0.246949,11.02537,0.038402,0.291838,0.503511,
119,29.40308,54.17153,2.242208,0.199119,11.19833,-0.00525,0.353372,0.518279,
120,29.29216,54.34848,2.197959,0.219518,11.17398,0.070081,0.36509,0.494198,
121,29.44143,54.20895,2.191598,0.218598,10.95434,-0.056078,0.304821,0.607693,
122,29.41215,54.06842,2.240167,0.250407,11.18018,0.058964,0.36537,0.526005,
123,29.40104,54.12547,2.216294,0.305172,11.14673,0.074413,0.314036,0.519013,
124,29.41533,54.29041,2.257798,0.194518,11.18454,0.152512,0.362549,0.506087,
125,29.33374,54.38374,2.166239,0.2326,11.16965,0.061563,0.326716,0.556643,
126,29.31571,54.18568,2.219499,0.285247,11.08714,0.047445,0.327715,0.533967,
127,29.28928,54.2781,2.2377,0.168013,11.15103,0.042317,0.373647,0.526472,
128,29.39593,54.29118,2.22982,0.24578,10.97673,0.085949,0.378362,0.545075,
129,29.42867,53.89058,2.268899,0.259295,10.91676,0.110351,0.331275,0.548149,
130,29.27889,54.17202,2.226094,0.256352,10.98393,0.073267,0.354116,0.549206,
131,29.44714,54.20186,2.318562,0.193297,11.09532,0.119971,0.396188,0.509809,
132,29.60413,54.33522,2.320385,0.224754,11.15727,0.074049,0.258966,0.522108,
133,29.50055,54.1047,2.299989,0.278833,11.07216,0.034741,0.273763,0.517287,
134,29.47467,54.12878,2.19252,0.16816,11.11739,0.059334,0.364486,0.568672,
135,29.47513,54.28189,2.216407,0.237362,11.25838,0.035684,0.308481,0.520526,
136,29.37998,54.02073,2.328652,0.248741,11.15978,0.011216,0.439889,0.517686,
137,29.6158,54.36798,2.223325,0.207621,11.16628,0.023178,0.335103,0.540451,
