Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
326,45.46899,39.92106,0.205325,0.062307,0.034528,0.222677,14.48665,
328,45.14572,39.89362,0.198307,0.060238,0.10361,0.175911,15.00888,
330,44.81658,39.44909,0.229708,0.006435,0.096368,0.193682,15.10029,
332,44.33592,39.64869,0.276338,-0.01469,0.094155,0.241091,15.56957,
334,44.22136,39.60365,0.289194,-0.011784,0.018749,0.206243,16.28279,
336,43.8138,39.70925,0.280678,0.016063,0.027266,0.299903,16.60515,
338,43.34681,39.46743,0.289718,-0.009222,0.125861,0.316001,16.91287,
340,43.10765,39.69631,0.267074,-0.039496,0.061149,0.18847,17.33109,
342,42.94709,39.46541,0.234909,0.0311,0.046819,0.195672,17.85977,
344,41.47452,42.06315,0.541018,0.09504,0.045556,0.175293,17.87321,
346,10.62357,49.27383,8.666914,2.050514,0.028302,0.148991,11.97712,
348,6.713522,49.49284,10.45122,2.221941,-0.020023,0.165592,11.63173,
350,6.893324,49.52179,10.41776,2.214304,0.019557,0.14518,11.3954,
352,7.208028,50.18189,10.26017,2.218101,0.029114,0.204853,11.41602,
