Distance (µm),Al Ox%,Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
132,1.608629,29.60425,54.97026,2.238451,0.273215,0.319976,0.239284,10.74593,
134,1.686737,29.50133,54.71951,2.287537,0.364375,0.468696,0.274423,10.69739,
136,1.692943,29.45008,55.11853,2.252239,0.262451,0.33309,0.188964,10.70171,
138,1.508086,29.65623,54.92559,2.218553,0.268154,0.286887,0.276791,10.85971,
140,1.678634,29.53719,54.95992,2.180677,0.281391,0.371919,0.238421,10.75185,
142,1.605653,29.74624,54.72367,2.226115,0.254843,0.394352,0.255628,10.79349,
144,1.672967,29.60086,54.87159,2.262223,0.31207,0.346496,0.232146,10.70164,
146,1.582734,29.54477,55.11403,2.26899,0.245146,0.403262,0.202226,10.63883,
148,1.562579,29.66306,55.09989,2.254803,0.207129,0.367219,0.216609,10.62871,
150,1.572741,29.66535,55.04239,2.214969,0.270123,0.373509,0.256927,10.60399,
152,1.744781,29.62414,55.05159,2.205386,0.319879,0.326824,0.226555,10.50085,
154,1.787889,29.64574,54.86094,2.240392,0.27183,0.413222,0.273287,10.50669,
156,1.964451,29.52529,54.67506,2.232691,0.358204,0.435664,0.197608,10.61103,
158,1.999364,29.40182,54.7047,2.263821,0.334994,0.448681,0.302293,10.54431,
160,2.039217,29.53565,54.62339,2.306715,0.338697,0.436005,0.245845,10.47448,
162,1.924458,29.71806,54.71355,2.252758,0.363523,0.432494,0.275362,10.31981,
164,2.020141,29.81432,54.65535,2.250852,0.353304,0.517202,0.172313,10.21651,
166,1.989526,29.78437,54.50068,2.363676,0.309589,0.47985,0.236101,10.33621,
168,2.047933,29.64914,54.50592,2.416101,0.285366,0.575619,0.204215,10.3157,
170,2.013868,29.73414,54.65135,2.309994,0.269093,0.616708,0.279336,10.12552,
172,1.872326,30.09828,54.74806,2.106546,0.297919,0.685401,0.157012,10.03445,
174,1.784987,30.30848,54.95,1.846571,0.220775,0.554674,0.22065,10.11387,
176,1.939445,30.02296,54.93886,1.983449,0.293923,0.582339,0.223549,10.01547,
178,1.763808,30.14695,54.88189,2.208193,0.226298,0.54722,0.093376,10.13227,
180,1.60891,30.02925,55.19545,2.264145,0.151226,0.562437,0.249841,9.938745,
182,1.461122,30.07697,55.47088,2.257776,0.18456,0.453335,0.210361,9.884988,
184,1.629897,30.08298,55.17751,2.215912,0.16927,0.544287,0.232478,9.947673,
186,1.709963,29.94644,55.26932,2.222262,0.157474,0.605037,0.199396,9.890117,
188,1.802638,29.95607,55.01885,2.256879,0.202705,0.600353,0.187793,9.974715,
190,1.940881,29.9958,54.66813,2.308268,0.211814,0.539408,0.279328,10.05637,
192,1.708456,29.89454,55.18911,2.285502,0.263434,0.53288,0.261446,9.864631,
194,1.951962,29.52135,55.00679,2.371931,0.284582,0.640643,0.272536,9.950207,
196,2.179529,29.35547,54.88548,2.395893,0.299893,0.678249,0.225486,9.979991,
198,2.053022,29.69379,54.67175,2.456953,0.238613,0.709217,0.239848,9.936802,
200,2.102857,29.48019,54.83593,2.455635,0.358891,0.609475,0.210805,9.946216,
202,2.154426,29.64628,54.57529,2.482708,0.269029,0.665027,0.219972,9.987264,
204,2.155147,29.5663,54.54125,2.425532,0.31954,0.788937,0.229938,9.973361,
206,2.300883,29.57688,54.44916,2.426283,0.317766,0.622555,0.254287,10.0522,
208,2.157682,29.56591,54.67818,2.397742,0.317676,0.54961,0.182201,10.15101,
210,2.053742,29.56379,54.87264,2.258379,0.242616,0.584219,0.298424,10.1262,
212,1.998217,29.92703,54.73386,2.250417,0.204012,0.595635,0.233882,10.05696,
214,2.084522,29.84514,54.93167,2.303465,0.26818,0.438192,0.200643,9.92819,
216,1.931276,29.66538,55.05527,2.268001,0.283051,0.520294,0.284632,9.992092,
218,1.927894,29.85427,54.95109,2.256133,0.249892,0.524017,0.249481,9.987232,
220,1.913942,29.65869,54.97824,2.318599,0.270088,0.547419,0.255633,10.05738,
222,2.066815,29.68715,54.76614,2.261408,0.23032,0.581283,0.219699,10.18719,
224,1.980639,29.93803,54.77083,2.289246,0.223278,0.557188,0.181214,10.05958,
226,1.934484,29.97063,54.79766,2.294767,0.238174,0.510445,0.205788,10.04806,
228,1.980675,29.95541,55.08024,2.246675,0.244532,0.544009,0.183985,9.764471,
230,1.839061,30.00294,55.03484,2.286941,0.167405,0.533429,0.234714,9.900675,
232,1.70516,30.20987,55.05654,2.192362,0.203333,0.431067,0.258788,9.94288,
234,1.594704,30.01376,55.40994,2.252638,0.227798,0.414033,0.130261,9.956874,
236,1.686323,30.01658,55.27888,2.259853,0.213899,0.48428,0.238617,9.821562,
238,1.673442,30.08772,55.19424,2.241325,0.166349,0.494814,0.221432,9.920684,
240,1.567163,30.05156,55.3774,2.182342,0.25564,0.446896,0.285641,9.833367,
242,1.51592,30.22898,55.51964,2.200407,0.165238,0.401878,0.149093,9.818838,
244,1.506829,30.31611,55.16298,2.244112,0.181885,0.414408,0.254098,9.919578,
246,1.99534,29.32984,54.79274,2.277157,0.32017,0.437027,0.217521,10.63019,
248,2.047049,28.77446,54.70432,2.340357,0.382601,0.343437,0.214192,11.19359,
250,1.962599,28.35806,54.26794,2.361411,0.338202,0.222921,0.266978,12.22188,
252,1.981162,28.03973,54.34369,2.438589,0.321688,0.230189,0.228942,12.41602,
254,2.069497,27.62376,54.22249,2.648876,0.372374,0.126601,0.295709,12.6407,
256,2.091586,27.5306,54.03384,2.679336,0.434471,0.17203,0.275806,12.78231,
258,2.021994,27.74524,54.25546,2.54411,0.333176,0.26057,0.321431,12.51802,
260,2.081263,27.30616,53.96148,2.858762,0.403924,0.204236,0.183513,13.00066,
262,2.933364,25.93394,53.54119,3.313706,0.598092,0.124289,0.25079,13.30464,
264,13.05684,8.044151,53.52269,9.996055,2.357609,0.0607,0.216392,12.74557,
266,13.84769,6.380942,53.83475,10.51094,2.52336,0.086702,0.240855,12.57476,
268,14.2105,6.217681,53.82616,10.54905,2.48822,0.002039,0.226238,12.48011,
270,13.89453,6.254239,54.26627,10.41339,2.403603,0.062767,0.170158,12.53505,
