Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
41,29.42575,54.60796,2.27527,0.269765,0.466351,0.205888,11.47823,
42,29.49442,54.76773,2.234578,0.283953,0.4461,0.258583,11.60213,
43,29.31705,54.56176,2.293955,0.305921,0.448189,0.211688,11.46232,
44,29.50008,54.90006,2.337895,0.267331,0.508992,0.216635,11.38573,
45,29.55249,54.83755,2.315167,0.302683,0.505217,0.320839,11.3643,
46,29.26039,54.85139,2.252416,0.401706,0.46581,0.178904,11.45521,
47,29.50071,54.8335,2.280921,0.276321,0.488379,0.280713,11.67606,
48,29.46121,55.03267,2.279869,0.338944,0.480309,0.253947,11.279,
49,29.58737,55.0943,2.224598,0.353865,0.51039,0.324211,11.49479,
50,29.18975,54.71502,2.286666,0.352877,0.497836,0.184447,11.39452,
51,29.54842,54.66145,2.278021,0.352723,0.548437,0.300812,11.54587,
52,29.62859,54.80077,2.266608,0.340802,0.525269,0.228814,11.3417,
53,29.54058,54.79658,2.280456,0.416518,0.504064,0.271475,11.50037,
54,29.27555,54.86218,2.360607,0.292716,0.457855,0.290802,11.31348,
55,29.20132,54.82712,2.347792,0.333901,0.509378,0.231849,11.38196,
56,29.49001,54.82312,2.320443,0.433406,0.550016,0.250917,11.38928,
57,29.63324,54.77819,2.327249,0.312633,0.459613,0.173519,11.55969,
58,29.79116,55.30624,2.269151,0.340597,0.505609,0.205315,11.64691,
59,29.48672,54.94354,2.266151,0.313289,0.503074,0.253463,11.31509,
60,29.76604,55.07298,2.284586,0.313019,0.370175,0.331239,11.43853,
61,29.48425,55.06286,2.288359,0.340058,0.455173,0.27576,11.42908,
62,29.59109,54.71829,2.245654,0.35805,0.498926,0.208368,11.40352,
63,29.67578,55.28709,2.337211,0.352566,0.438559,0.230521,11.51431,
64,29.44793,55.33649,2.299581,0.350072,0.42577,0.3124,11.49539,
65,29.6882,55.10096,2.310518,0.341254,0.477241,0.224737,11.69349,
66,29.81803,54.96119,2.399258,0.333913,0.467039,0.181729,11.52395,
67,29.65272,55.14517,2.371615,0.267399,0.502577,0.226778,11.41378,
68,29.75381,55.14138,2.325456,0.386791,0.407777,0.201812,11.50428,
69,29.54357,55.06136,2.375433,0.351416,0.526163,0.237461,11.37783,
70,29.70838,55.1285,2.278578,0.309626,0.497172,0.260376,11.42607,
71,29.6094,55.11973,2.286961,0.277911,0.461093,0.175833,11.38308,
72,29.75929,54.99765,2.269376,0.327925,0.533741,0.209495,11.57492,
73,29.56733,55.08611,2.287296,0.302591,0.479876,0.304531,11.42808,
74,29.58615,55.30071,2.307207,0.350273,0.486302,0.255289,11.3974,
75,29.87271,55.04602,2.325564,0.304757,0.443604,0.240971,11.47183,
76,29.6238,55.33988,2.329838,0.337402,0.451162,0.163456,11.43762,
77,29.74601,55.11794,2.298829,0.330771,0.373995,0.287741,11.35933,
78,29.69045,55.31859,2.364012,0.297536,0.500518,0.209935,11.7134,
79,29.73878,55.27608,2.314722,0.337211,0.481345,0.220246,11.60347,
80,29.59864,55.361,2.289628,0.364388,0.405607,0.229582,11.42051,
81,29.75034,55.01672,2.326437,0.299997,0.454306,0.273597,11.39839,
82,29.74423,55.64505,2.260603,0.307849,0.503029,0.245338,11.38994,
83,29.72561,55.20173,2.33275,0.371058,0.448295,0.23894,11.60093,
84,29.92851,55.56255,2.273141,0.35425,0.501738,0.258741,11.51482,
85,29.63607,55.21786,2.320249,0.376662,0.477507,0.180048,11.4807,
86,29.83459,55.50825,2.333373,0.393209,0.464523,0.205339,11.42996,
87,29.722,55.18072,2.320899,0.378646,0.445129,0.231042,11.56727,
88,29.79562,55.22668,2.361862,0.421337,0.468965,0.212525,11.37241,
89,29.88449,55.59945,2.394389,0.297439,0.470472,0.212686,11.47508,
90,29.77022,55.21715,2.369386,0.276522,0.437131,0.225526,11.44354,
91,29.82981,55.66816,2.283047,0.314823,0.443943,0.275369,11.31786,
92,29.67154,55.44528,2.323776,0.340907,0.452588,0.237616,11.56301,
93,29.22647,54.98698,2.448059,0.352449,0.454054,0.263017,11.49458,
94,28.14514,54.1558,3.294122,0.475336,0.482123,0.331578,11.92384,
95,27.77731,54.25435,3.617927,0.473757,0.422058,0.257232,12.29866,
96,28.13164,55.02493,3.552756,0.537801,0.405023,0.256007,12.43422,
97,28.02264,57.20827,3.354306,0.482791,0.401201,0.24252,11.79761,
98,16.59227,53.45088,6.716889,1.390705,0.25705,0.231953,11.34169,
99,9.110343,50.14574,9.615978,2.005572,0.064675,0.230634,11.24511,
100,7.347126,49.52763,10.35631,2.266415,-0.036223,0.216158,11.18625,
101,7.001312,49.58604,10.29497,2.148117,0.062216,0.146174,11.27201,
102,6.992286,49.63527,10.42522,2.11862,0.014192,0.179757,11.1762,
103,7.207807,49.70405,10.42751,2.200107,0.110451,0.180974,11.16739,
104,7.094468,49.85938,10.39365,2.181783,-0.003589,0.174555,11.35019,
105,7.153478,49.55654,10.37913,2.132987,0.048999,0.184071,11.36926,
