Distance (µm),Al Ox%,Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
62,1.397856,29.65178,55.18282,2.132694,0.202543,0.462873,0.279891,10.68954,
64,1.477931,29.71873,54.93013,2.210038,0.240882,0.372137,0.26849,10.78167,
66,1.514737,29.79276,55.06304,2.073696,0.153861,0.410123,0.210992,10.78079,
68,1.818825,29.41686,54.73608,2.129336,0.296204,0.462329,0.271851,10.86852,
70,2.07675,29.10442,54.57364,2.211509,0.33407,0.55709,0.224117,10.91841,
72,2.016858,29.24576,54.47975,2.188228,0.293761,0.587776,0.187884,10.99997,
74,1.994859,29.32703,54.66145,2.169253,0.253459,0.564045,0.204455,10.82546,
76,1.898297,29.32963,54.57912,2.209418,0.317267,0.571996,0.254621,10.83966,
78,1.828565,29.05596,55.29019,2.142104,0.259075,0.465694,0.259439,10.69898,
80,1.853272,29.29966,54.80069,2.198744,0.312681,0.44342,0.243498,10.84804,
82,1.840265,29.30382,54.70001,2.2191,0.28191,0.477554,0.180645,10.99669,
84,1.803528,29.38126,54.71981,2.233307,0.268134,0.437147,0.249102,10.90772,
86,2.084484,29.20325,54.62478,2.177478,0.314007,0.496096,0.215338,10.88455,
88,2.062613,29.1992,54.39881,2.285671,0.312413,0.534176,0.285977,10.92112,
90,1.954046,29.28004,54.58764,2.160917,0.315082,0.482202,0.278576,10.94151,
92,1.945643,29.31373,54.93237,2.202762,0.279633,0.453649,0.185235,10.68699,
94,1.837663,29.28949,54.75954,2.18607,0.292256,0.432079,0.224906,10.978,
96,1.948647,29.35472,54.6446,2.156344,0.256498,0.459317,0.21039,10.96948,
98,1.961912,29.48306,54.4983,2.194463,0.27941,0.527798,0.273574,10.78149,
100,1.900116,29.16089,54.7381,2.138469,0.338668,0.495208,0.269614,10.95893,
102,1.975951,29.28841,54.63433,2.204903,0.320409,0.54788,0.196365,10.83175,
104,1.984407,29.21189,54.64578,2.096846,0.284316,0.577499,0.162818,11.03645,
106,1.838401,29.5057,54.63197,2.205918,0.251941,0.381364,0.271626,10.91309,
108,1.843491,29.35084,54.9166,2.205123,0.235232,0.442588,0.269525,10.73661,
110,2.042367,29.35322,54.63387,2.121651,0.261252,0.549109,0.261369,10.77717,
112,1.99041,29.40295,54.67145,2.146352,0.299239,0.468833,0.237552,10.78321,
114,1.868371,29.31307,54.82848,2.128279,0.255509,0.559314,0.150215,10.89676,
116,1.963427,29.23612,54.75136,2.153271,0.33619,0.52638,0.234902,10.79835,
118,1.854863,29.52861,54.7985,2.25399,0.193263,0.445926,0.148805,10.77603,
120,1.968278,29.25533,54.68245,2.207239,0.25235,0.525767,0.244469,10.86412,
122,1.997225,29.23512,54.70382,2.17026,0.320138,0.456065,0.218431,10.89895,
124,1.884266,29.31343,54.67521,2.199624,0.247197,0.552289,0.212946,10.91504,
126,1.863073,29.40244,54.66965,2.168225,0.266982,0.43482,0.27898,10.91583,
128,1.912492,29.38976,54.74617,2.164058,0.256823,0.493004,0.199416,10.83827,
130,1.984286,29.09327,55.12153,2.209463,0.314059,0.527102,0.185105,10.5652,
132,4.465441,24.99295,54.96474,2.981326,0.604805,0.502,0.269853,11.21888,
134,4.535677,24.52145,54.61677,3.566454,0.596066,0.44752,0.231497,11.48457,
136,1.854397,29.29755,54.44591,2.220246,0.315377,0.442793,0.349607,11.0741,
138,1.909298,29.38164,54.56171,2.156868,0.241171,0.602904,0.206854,10.93955,
140,1.955025,29.12092,54.61911,2.224023,0.289017,0.524759,0.331606,10.93553,
142,1.886266,29.14447,54.89379,2.228268,0.263928,0.506397,0.269073,10.80782,
144,1.987021,29.14104,54.44705,2.514468,0.301309,0.509627,0.246513,10.85297,
146,2.717702,28.63269,53.78785,2.336947,0.339414,0.648786,0.233888,11.30273,
148,2.925865,28.55414,53.7359,2.313729,0.392162,0.665554,0.230352,11.18229,
150,3.07802,28.46922,53.73049,2.295932,0.332896,0.67542,0.258802,11.15922,
152,2.331859,28.98988,54.09496,2.328556,0.326024,0.619719,0.23305,11.07595,
154,1.917673,29.21971,54.97164,2.367053,0.225297,0.338044,0.191865,10.76872,
156,1.981432,29.12576,54.40428,2.338879,0.350733,0.510438,0.216877,11.0716,
158,1.873711,29.24363,54.54364,2.372002,0.307499,0.424463,0.292509,10.94253,
160,1.910477,29.19725,54.55848,2.363773,0.283766,0.4491,0.188675,11.04849,
162,1.886236,29.16521,54.81557,2.38376,0.253273,0.451745,0.24729,10.79692,
