Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Fe Ox%,Ti Ox%,Cr Ox%,Mn Ox%,
232,28.92214,1.941571,54.79721,2.045285,12.3944,0.322883,0.397523,0.25807,
234,28.88169,2.00954,54.93695,2.077264,12.56476,0.295803,0.44019,0.31171,
236,28.85725,1.916984,54.97962,2.022542,12.48093,0.341271,0.466167,0.355166,
238,28.54783,2.050359,55.03582,2.058949,12.47893,0.272886,0.322764,0.182483,
240,28.769,1.903549,54.78688,1.960247,12.2623,0.331916,0.399639,0.231298,
242,28.85082,1.914868,54.91644,2.0883,12.48017,0.215148,0.393862,0.316812,
244,28.82569,1.877932,55.26427,2.060093,12.43185,0.3017,0.447163,0.255063,
246,28.76263,1.942189,54.98658,2.018023,12.36488,0.294724,0.413779,0.292582,
248,29.03337,1.928605,54.94692,2.026782,12.38854,0.30595,0.408613,0.241866,
250,28.88799,1.88693,54.86919,2.039907,12.31039,0.377921,0.413427,0.314999,
252,28.73664,1.848367,54.79247,2.105106,12.42876,0.386604,0.369567,0.230019,
254,28.822,1.889289,54.96819,2.1106,12.45733,0.281577,0.427403,0.193892,
256,28.82579,1.945551,54.70584,2.07454,12.27324,0.320602,0.477971,0.286936,
258,29.06082,1.879377,54.96997,2.060836,12.4192,0.311756,0.352453,0.204064,
260,28.89312,1.981393,54.53466,2.016072,12.3106,0.341704,0.450653,0.289535,
262,28.55136,1.877898,54.91485,2.108476,12.21362,0.337836,0.350129,0.260134,
264,28.72019,1.925604,55.01158,2.088775,12.42463,0.224328,0.404305,0.223501,
266,29.05402,1.90209,54.97266,2.015026,12.51253,0.272481,0.359603,0.265429,
268,28.67661,1.977697,54.73241,2.133723,12.47662,0.369913,0.342402,0.241847,
270,28.77886,1.94052,54.4839,2.123244,12.41937,0.3142,0.392724,0.340328,
272,28.81903,1.97152,54.76342,2.064799,12.24955,0.287014,0.405604,0.287017,
274,28.93035,1.887623,54.67636,2.099609,12.53306,0.336787,0.339296,0.228927,
276,28.98116,1.919516,55.1025,2.102068,12.58663,0.276446,0.423194,0.252771,
278,28.98384,1.880911,54.94846,2.050675,12.46849,0.225135,0.372632,0.26057,
280,28.72749,2.050208,54.77666,2.110344,12.32746,0.321775,0.371223,0.246539,
282,28.79955,1.918078,54.85948,2.107375,12.55367,0.284012,0.345029,0.340658,
284,28.78838,1.887242,54.84008,2.11569,12.21455,0.279867,0.435574,0.210136,
286,28.66738,1.967024,54.70565,2.098384,12.43142,0.281234,0.421981,0.20908,
288,28.64988,1.90535,55.04712,2.109674,12.54081,0.324424,0.421255,0.263893,
290,28.77804,1.97783,54.81911,2.099485,12.5584,0.367054,0.305903,0.24806,
292,28.74038,1.904623,54.8314,2.126604,12.51902,0.304718,0.462928,0.215406,
294,28.60635,1.928055,54.27511,2.093258,12.38951,0.203612,0.359443,0.228477,
296,28.53196,1.94161,54.53685,2.067295,12.40806,0.353918,0.393208,0.260431,
