Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
74,29.99094,55.59302,2.177999,0.256215,0.666358,0.196592,9.051257,
76,30.24234,55.49387,2.21874,0.17813,0.695692,0.143141,8.932985,
78,30.05497,55.27909,2.205213,0.203394,0.646553,0.213705,8.911683,
80,30.25728,55.47534,2.208896,0.192335,0.633266,0.188031,9.019272,
82,30.21086,55.65325,2.269555,0.235727,0.611193,0.209368,8.84865,
84,30.35107,55.32689,2.144013,0.222453,0.694556,0.205631,8.929616,
86,30.06705,55.51489,2.182142,0.338268,0.700678,0.214645,8.86326,
88,30.43727,55.34328,2.219545,0.259286,0.592904,0.220387,8.98153,
90,30.17204,55.43853,2.212708,0.201097,0.59185,0.151118,8.929477,
92,30.19617,55.50889,2.227359,0.325785,0.628797,0.237775,8.894403,
94,30.24375,55.55881,2.240264,0.30341,0.605484,0.146573,9.009476,
96,30.24181,55.3587,2.224559,0.258952,0.673342,0.231138,8.90907,
98,30.15882,55.44843,2.309768,0.272329,0.585085,0.193652,8.782001,
100,30.29243,55.5755,2.254157,0.206429,0.706698,0.190467,8.998798,
102,30.38814,55.58696,2.215162,0.281636,0.677156,0.11098,8.967175,
104,30.0892,55.39985,2.224877,0.245084,0.65673,0.075285,8.955556,
106,30.22205,55.45351,2.257825,0.186394,0.616224,0.201616,8.864398,
108,30.3475,55.41832,2.240491,0.24811,0.644156,0.23537,8.892118,
110,30.14223,55.63588,2.276955,0.208722,0.682582,0.166824,8.951891,
112,30.22373,55.47698,2.158546,0.242095,0.668327,0.150259,8.733212,
114,30.45746,55.85679,2.217913,0.291215,0.657809,0.155262,8.722304,
116,30.42998,55.717,2.202707,0.227682,0.66431,0.218324,8.767108,
118,30.31054,55.25399,2.280537,0.218456,0.640053,0.211472,8.835319,
120,30.02088,55.37623,2.249918,0.239974,0.586632,0.181198,8.754466,
122,30.29058,55.32939,2.19839,0.266507,0.668038,0.207813,8.77843,
124,30.38651,55.45423,2.282523,0.263968,0.601477,0.269437,9.018847,
126,30.19744,55.49828,2.246215,0.29385,0.64678,0.17385,8.710132,
128,30.16431,55.45115,2.241332,0.169309,0.603033,0.155554,8.790063,
130,30.29888,55.47694,2.226886,0.301291,0.629308,0.178593,8.844773,
132,30.17583,55.8271,2.270569,0.212626,0.596603,0.172922,8.786847,
134,30.21133,55.40513,2.201641,0.26472,0.600465,0.304514,8.752548,
136,30.13288,55.48326,2.255172,0.263202,0.593503,0.202696,8.747836,
138,30.34375,55.60374,2.299987,0.241622,0.576808,0.252089,8.701819,
140,30.25456,55.73592,2.215714,0.248528,0.645716,0.169833,8.909697,
142,30.42474,55.77366,2.300797,0.319486,0.688345,0.129838,8.791228,
144,30.28071,56.03489,2.257232,0.177633,0.726811,0.20729,8.681761,
146,30.37109,55.71806,2.275458,0.232838,0.650611,0.1981,8.880735,
148,30.2906,55.39838,2.233212,0.236377,0.614034,0.265785,8.788608,
150,30.07693,55.35118,2.350699,0.187009,0.66836,0.180037,8.810299,
152,30.26713,55.54999,2.26766,0.251906,0.657768,0.197989,8.843062,
154,30.33517,55.7494,2.298435,0.203988,0.629407,0.195911,8.845901,
156,30.39795,55.6986,2.212461,0.215747,0.699153,0.245204,8.902452,
158,30.29648,55.58709,2.257001,0.228025,0.728028,0.188234,8.728608,
160,30.12233,55.64489,2.252928,0.297183,0.596021,0.171223,8.869195,
162,30.20524,55.63722,2.293662,0.211516,0.681961,0.128147,8.743303,
164,30.24347,55.76691,2.307984,0.248254,0.676789,0.310109,8.844714,
166,30.18278,55.52508,2.18967,0.240373,0.639711,0.238677,8.761428,
168,30.46357,55.68386,2.275416,0.265128,0.6157,0.136504,8.74332,
170,30.39152,55.72228,2.288093,0.200785,0.647069,0.194483,8.861881,
172,30.37529,55.59175,2.2271,0.236738,0.724674,0.223381,8.665754,
174,30.32285,55.47075,2.273765,0.234481,0.610591,0.205591,9.008492,
176,30.43386,55.93423,2.211831,0.209048,0.642516,0.132663,8.814009,
178,30.43877,55.81206,2.211967,0.201707,0.64585,0.193965,8.699091,
180,30.27219,55.36491,2.257503,0.326394,0.669494,0.166571,8.903649,
182,30.23818,55.69007,2.185993,0.154411,0.633469,0.206612,8.738911,
184,30.28554,55.66757,2.25604,0.211021,0.67698,0.171761,8.781619,
186,30.25977,55.80189,2.232094,0.184671,0.634835,0.173174,8.952997,
188,30.37917,55.53517,2.234479,0.284004,0.634749,0.184213,8.934422,
190,30.24129,55.65654,2.273865,0.15428,0.608882,0.203087,8.836712,
192,30.30278,55.88634,2.212713,0.270942,0.643708,0.243829,8.803711,
194,30.47762,55.72961,2.254687,0.207263,0.613367,0.22917,8.721901,
196,30.24954,55.45443,2.250313,0.238615,0.719184,0.180795,8.738083,
198,30.39122,55.62995,2.334468,0.249771,0.598943,0.259292,8.804189,
200,30.3746,55.55006,2.253851,0.235376,0.641516,0.292633,8.780521,
202,30.30698,55.71235,2.245213,0.173932,0.641707,0.200739,8.730369,
204,30.30877,55.68827,2.210343,0.241925,0.633412,0.186241,8.676354,
206,30.15574,55.71423,2.271194,0.237234,0.652633,0.199838,8.73449,
208,30.20024,55.69307,2.219183,0.203379,0.650539,0.199202,8.960893,
210,30.38368,55.70326,2.211274,0.236076,0.562568,0.214144,8.634686,
212,30.30015,55.67117,2.231439,0.249234,0.606035,0.21826,8.649885,
214,30.49376,55.76701,2.218022,0.194954,0.621408,0.175822,8.787109,
216,30.4573,55.57124,2.209029,0.253855,0.614787,0.16106,8.706328,
218,30.4209,55.86158,2.309057,0.099047,0.540483,0.237446,8.634326,
220,30.68877,55.98923,2.209939,0.14684,0.593997,0.177621,8.658434,
222,30.5629,55.71205,2.27546,0.197776,0.612124,0.232737,8.490117,
224,30.62394,55.8561,2.243463,0.243204,0.579977,0.136037,8.75413,
226,30.56158,55.91328,2.225126,0.144651,0.563878,0.229577,8.684314,
228,30.59676,56.05842,2.277679,0.186549,0.529139,0.197598,8.658387,
230,30.68753,56.01993,2.281916,0.151622,0.674216,0.177612,8.684752,
232,30.6877,56.06607,2.218103,0.218185,0.618607,0.201179,8.831511,
234,30.82832,56.09891,2.261292,0.175209,0.510732,0.25254,8.67178,
236,30.80888,56.18015,2.199638,0.235299,0.658315,0.251853,8.673878,
238,30.81796,55.77976,2.253179,0.170864,0.636869,0.112567,8.573059,
240,30.76922,55.96069,2.307815,0.241005,0.639089,0.197283,8.563773,
242,30.65082,55.66546,2.293182,0.193387,0.644807,0.200374,8.723299,
244,30.64592,56.02021,2.276352,0.181461,0.549313,0.289267,8.626405,
246,30.63808,56.13697,2.228818,0.145341,0.597339,0.219726,8.586247,
248,30.80393,55.94825,2.243341,0.219216,0.609232,0.174403,8.697982,
250,30.51437,56.18077,2.242176,0.221333,0.671641,0.160468,8.62357,
252,30.7008,55.73245,2.260322,0.262478,0.531638,0.163675,8.730038,
254,30.78554,55.98381,2.226394,0.238833,0.607789,0.185989,8.706702,
256,30.56771,56.1663,2.258769,0.213776,0.629362,0.180662,8.804722,
258,30.47404,56.0837,2.249697,0.183013,0.651476,0.144965,8.547568,
260,31.03562,56.02667,2.306358,0.251578,0.626184,0.16165,8.779402,
262,30.77379,56.13634,2.299274,0.215511,0.624818,0.277521,8.646208,
264,30.33853,55.8645,2.325691,0.160687,0.606876,0.212712,8.61018,
266,30.5515,55.84366,2.272145,0.21618,0.589039,0.208336,8.549622,
268,30.75427,55.9711,2.269965,0.297955,0.574322,0.183174,8.757664,
270,30.95774,56.04836,2.311237,0.255501,0.691936,0.204402,8.712291,
272,30.74132,56.37191,2.253542,0.239078,0.695115,0.118093,8.661437,
274,30.72525,55.92318,2.245293,0.221675,0.643602,0.13247,8.940607,
276,30.58379,55.77692,2.287003,0.198883,0.606318,0.112751,8.733571,
278,30.66367,56.15266,2.270586,0.298403,0.623346,0.182761,8.827421,
280,30.87894,56.04273,2.281312,0.216625,0.619664,0.229942,8.78644,
282,30.56324,56.23772,2.286727,0.162638,0.594899,0.219701,8.71492,
284,30.5956,55.95015,2.254769,0.205727,0.53674,0.266947,8.744051,
286,30.6523,55.91434,2.256687,0.252656,0.616507,0.242358,8.801991,
288,30.68816,55.98058,2.278826,0.209625,0.542645,0.207682,8.942841,
290,30.68131,55.82345,2.17665,0.239934,0.702993,0.199576,8.712968,
292,30.75221,55.87146,2.224087,0.24823,0.663785,0.184837,8.989978,
294,30.55203,55.77922,2.259246,0.205615,0.603889,0.156466,9.11593,
296,30.72824,55.9617,2.238069,0.199461,0.540629,0.165515,8.968576,
298,30.466,55.85076,2.225952,0.221222,0.699119,0.220404,9.01258,
300,30.39672,55.91716,2.258195,0.166252,0.586012,0.21155,8.974521,
302,30.49252,56.0734,2.311668,0.239821,0.706341,0.060684,9.109016,
304,30.55962,56.01023,2.283802,0.209998,0.598636,0.226746,9.023115,
306,30.41781,56.16002,2.296313,0.18786,0.588487,0.189543,9.176561,
308,30.40997,55.85994,2.247027,0.187794,0.597508,0.198292,9.171679,
310,30.29608,56.07043,2.235483,0.14666,0.545351,0.242883,8.930795,
312,30.56172,56.16098,2.205801,0.209174,0.579297,0.221845,8.93131,
314,30.67845,56.10144,2.216244,0.163769,0.585592,0.164842,9.136542,
316,30.62095,56.04034,2.262012,0.225418,0.565777,0.213671,9.055528,
318,30.42946,56.01956,2.225368,0.146377,0.497861,0.261385,8.982864,
320,30.73107,56.35672,2.272259,0.202858,0.45918,0.165799,9.331221,
322,30.69548,56.23966,2.2609,0.127263,0.565984,0.274571,9.02609,
324,30.62676,56.05897,2.202441,0.173339,0.52223,0.23397,9.252104,
326,30.53933,56.18132,2.261136,0.122547,0.533352,0.274372,9.31945,
328,30.49738,56.2948,2.286478,0.263606,0.626577,0.193636,9.154342,
330,30.43793,55.63816,2.225052,0.197986,0.575146,0.232304,9.261838,
332,30.35315,56.22312,2.235227,0.124563,0.56255,0.207616,9.275416,
334,30.36392,56.02206,2.367032,0.098742,0.522212,0.199877,9.148199,
336,30.42246,55.94798,2.353735,0.231161,0.590415,0.186297,9.448617,
338,30.35463,56.00256,2.337873,0.172189,0.582088,0.210084,9.271622,
340,30.33589,56.10148,2.331429,0.155127,0.584241,0.235022,9.270714,
342,30.20114,56.13882,2.351197,0.185779,0.589764,0.206444,9.383367,
344,30.12662,55.89655,2.30916,0.155347,0.530591,0.187295,9.555708,
346,30.25541,56.09897,2.291661,0.155139,0.510525,0.187085,9.511064,
348,30.05709,55.75342,2.238312,0.203527,0.593878,0.21005,9.558668,
350,29.90495,55.85958,2.329311,0.283229,0.56612,0.23609,9.718415,
352,30.11858,55.56652,2.179494,0.248178,0.517951,0.133888,9.992297,
354,30.05127,55.83798,2.280524,0.26677,0.479448,0.208664,9.79373,
356,29.88864,55.52626,2.286803,0.376889,0.476521,0.174898,10.01131,
358,30.05446,55.44358,2.168708,0.391112,0.421502,0.195325,10.07643,
360,29.71078,55.72995,2.176724,0.474449,0.385862,0.218305,9.856845,
362,29.9335,55.68922,2.182268,0.426145,0.381191,0.179665,9.957225,
364,29.85428,55.64487,2.149697,0.48001,0.399368,0.236941,9.901632,
366,29.96999,55.54197,2.136236,0.582567,0.400282,0.243563,10.11894,
368,29.96668,55.4866,2.189832,0.481087,0.430072,0.205374,10.03105,
370,29.72492,55.60338,2.119577,0.493901,0.444897,0.216376,9.979633,
372,29.95453,55.69797,2.06583,0.465885,0.422613,0.262911,10.13307,
374,29.66821,55.43176,2.129712,0.495097,0.362744,0.275829,10.0631,
376,30.01059,55.41351,2.140086,0.499137,0.361741,0.224576,10.05345,
378,30.03969,55.73844,2.089447,0.472571,0.432515,0.223208,10.37324,
380,29.8207,55.63998,2.157563,0.469451,0.403597,0.269628,10.17479,
382,29.80457,55.56341,2.086588,0.469757,0.368525,0.20307,10.19955,
384,29.78425,55.50594,2.1011,0.456563,0.39962,0.348808,9.942917,
386,29.95822,55.46888,2.09867,0.533226,0.408844,0.199008,10.18951,
388,29.59883,55.85241,2.110729,0.44178,0.307633,0.24663,10.14454,
390,29.75566,55.60431,2.082832,0.513436,0.37541,0.222829,10.18483,
392,29.81808,55.58858,2.053613,0.474778,0.377889,0.24433,10.22015,
394,29.73813,55.44737,2.068856,0.49582,0.385059,0.263937,10.22684,
396,29.72896,55.37236,2.128268,0.514083,0.392743,0.239584,10.36139,
398,29.8545,55.39033,2.137359,0.396151,0.318245,0.243631,10.3542,
400,29.79569,55.6422,2.107803,0.473931,0.3897,0.240252,10.13095,
402,30.02503,55.94253,2.051993,0.410576,0.406317,0.24439,10.15061,
404,29.84444,55.68762,2.017023,0.358301,0.423338,0.154261,10.36763,
406,30.31853,55.93614,2.026204,0.401392,0.438141,0.228558,10.22637,
408,30.25774,56.00776,2.0704,0.273544,0.434042,0.262006,10.07884,
410,30.22499,55.21973,2.043149,0.274361,0.396195,0.178797,9.877702,
412,30.13646,55.86359,2.036408,0.251884,0.404891,0.188791,9.978123,
414,30.23973,56.00158,2.002419,0.250019,0.463951,0.2223,10.11745,
416,30.03213,55.77993,1.975433,0.247002,0.46159,0.214876,9.967669,
418,29.97258,55.97069,1.972512,0.266526,0.354902,0.210705,9.967768,
420,30.43659,55.88858,1.933297,0.248064,0.481521,0.165559,9.963371,
422,30.08026,55.87189,1.990634,0.242138,0.437669,0.27229,10.12161,
424,30.3022,56.03484,2.022641,0.165668,0.445801,0.164869,10.05031,
426,30.43623,56.09269,2.045106,0.335171,0.434058,0.250838,9.925839,
428,30.44055,56.32867,1.961821,0.308881,0.433704,0.255408,10.10391,
430,30.3909,55.99067,1.985639,0.285711,0.398167,0.20432,9.834087,
432,30.46241,55.93999,2.012055,0.277845,0.449273,0.243343,9.82594,
434,30.37879,56.22874,1.991283,0.242281,0.47473,0.171346,10.03632,
436,30.29698,56.38824,2.01835,0.267571,0.490995,0.203076,10.06258,
438,30.49629,56.19148,1.954959,0.259654,0.495495,0.237321,9.918359,
440,30.57613,56.20273,2.013945,0.296637,0.471801,0.238785,9.771069,
442,30.33366,55.89179,1.983277,0.180989,0.536609,0.235361,9.764124,
444,30.15602,56.10972,1.997188,0.171965,0.486931,0.136874,9.664251,
446,30.60152,56.00164,1.959306,0.248116,0.559641,0.177795,9.723254,
448,30.20708,56.01715,2.042648,0.271442,0.481874,0.220091,9.488151,
450,30.36447,56.03091,2.02112,0.207882,0.543207,0.187921,9.745545,
452,30.31391,56.07986,1.981585,0.243852,0.410679,0.164431,9.65905,
454,30.51139,56.44442,2.028205,0.220277,0.419125,0.235703,9.821608,
456,30.42491,55.99656,2.03603,0.258595,0.448431,0.194322,9.73638,
458,30.32968,55.80099,2.050528,0.216005,0.527231,0.178422,9.823226,
460,30.30696,56.07531,2.055454,0.275704,0.55121,0.14,9.509386,
462,30.22373,56.20877,1.935995,0.197442,0.41871,0.276018,9.457012,
464,30.67555,56.02982,2.027023,0.230329,0.464117,0.228424,9.649648,
466,30.55653,56.35587,2.007965,0.321371,0.485969,0.21994,9.685099,
468,30.63738,56.00999,2.006062,0.226934,0.535026,0.169241,9.326985,
470,30.49933,56.32016,2.002999,0.167385,0.479121,0.25576,9.71158,
472,30.4393,56.00125,1.973769,0.231319,0.4913,0.095884,9.574108,
474,30.62509,56.33067,2.023207,0.244513,0.557123,0.264374,9.520739,
476,30.45576,56.2384,2.103413,0.189946,0.47161,0.188563,9.499381,
478,30.59112,56.04189,2.041058,0.215119,0.608143,0.178271,9.772853,
480,30.46804,56.1305,2.046197,0.237347,0.578506,0.199191,9.738423,
482,30.43744,55.78032,1.978449,0.303896,0.537512,0.211351,9.68388,
484,30.33205,56.29892,2.022404,0.313782,0.520542,0.212139,9.508233,
486,30.65423,56.3296,1.971831,0.328568,0.506263,0.235475,9.713976,
488,30.64834,56.51968,2.004161,0.176195,0.501282,0.223681,9.672183,
490,30.43352,56.31567,2.075926,0.255694,0.559197,0.241915,9.58555,
492,30.36646,56.15194,2.003085,0.196534,0.434463,0.191236,9.660928,
494,30.47423,56.29454,2.0414,0.247961,0.476081,0.14351,9.69075,
496,30.5831,56.07069,1.972365,0.244309,0.504943,0.217943,9.610866,
498,30.48953,56.19627,2.007606,0.267825,0.520325,0.226118,9.658462,
500,30.45672,56.25504,2.029476,0.236024,0.501665,0.198198,9.744581,
502,30.51868,55.97015,1.947798,0.272569,0.522938,0.1737,9.843716,
504,30.4339,56.12065,1.9821,0.25128,0.486705,0.211121,9.51449,
506,30.53558,56.15215,1.944803,0.288297,0.427258,0.208366,9.678394,
508,30.65059,56.28322,1.986075,0.23384,0.546062,0.150537,9.892154,
510,30.21423,56.14089,1.99707,0.259136,0.54457,0.184613,9.878947,
512,30.59341,56.23182,1.982543,0.245737,0.549521,0.238991,9.911515,
514,30.25933,56.34794,1.98416,0.241337,0.579065,0.200915,9.767385,
516,30.38481,55.87594,1.962151,0.176241,0.557773,0.175689,9.569575,
518,30.44369,55.74364,2.033468,0.156723,0.489847,0.187932,9.855802,
520,30.36197,56.03993,1.957799,0.303706,0.530421,0.267282,9.751871,
522,30.5785,55.99105,1.960581,0.295977,0.533104,0.23898,9.847493,
524,30.43513,55.93217,1.952099,0.262151,0.512564,0.236111,9.735135,
526,30.28445,56.04253,1.976811,0.243498,0.494187,0.163296,9.71771,
528,30.68814,56.44636,2.006703,0.279368,0.549512,0.224659,10.05893,
530,30.64202,56.13538,1.874016,0.242724,0.53136,0.229073,9.748096,
532,30.50782,56.00803,1.996467,0.272252,0.381744,0.179389,9.858066,
534,30.52879,56.36506,1.964456,0.271704,0.504977,0.196228,9.671625,
